Período;Região;Instituição;Localização Geográfica;Nº Total de Partos;Nº Cesarianas
2022-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;1246;357
2022-06;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1000;273
2022-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;1238;400
2022-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;1461;411
2022-06;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;900;328
2022-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;159;72
2022-07;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;2555;737
2022-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;273;117
2022-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;724;189
2022-07;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1190;336
2022-07;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;822;231
2022-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;948;305
2022-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1249;377
2022-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;320;135
2022-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;446;161
2022-08;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1355;393
2022-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235, -8.984506;1087;351
2022-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;764;228
2022-08;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;1347;423
