Período;Região;Instituição;Localização Geográfica;Nº Total de Partos;Nº Cesarianas
2013-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;57;21
2013-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;206;57
2013-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;118;34
2013-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;281;109
2013-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;147;33
2013-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;75;33
2013-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;154;61
2013-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;118;40
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;100;37
2013-02;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;271;80
2013-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;277;76
2013-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;285;88
2013-02;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;261;77
2013-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;268;77
2013-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;342;80
2013-02;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;408;167
2013-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;273;100
2013-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;390;115
2013-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;541;156
2013-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;300;126
2013-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;370;161
2013-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;405;151
2013-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;532;154
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;1213;351
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;718;221
2013-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;731;226
2013-04;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;665;149
2013-04;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;665;149
2013-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;333;93
2013-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;794;189
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;781;206
2013-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;405;168
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;943;340
2013-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;416;105
2013-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;1378;446
2013-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;149;45
2013-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;1510;444
2013-05;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;704;207
2013-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;1058;416
2013-05;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;819;259
2013-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;298;93
2013-06;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;762;272
2013-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;823;241
2013-06;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;959;300
2013-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;798;197
2013-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;985;273
2013-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;337;119
2013-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;208;58
2013-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;1365;458
2013-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;742;316
2013-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;1301;350
2013-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;284;114
2013-08;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1368;301
2013-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;1368;301
2013-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;919;274
2013-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;974;299
2013-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;839;306
2013-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;761;201
2013-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;2608;817
2013-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;428;154
2013-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;1197;362
2013-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;1976;711
2013-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;477;165
2013-10;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;513;146
2013-10;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;1412;422
2013-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1270;466
2013-10;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;1971;620
2013-10;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;1839;503
2013-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;1778;391
2013-10;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;1002;314
2013-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;2044;527
2013-10;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;1709;514
2013-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;651;209
2013-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;1253;380
2013-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;437;180
2013-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;518;188
2013-11;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;346;94
2013-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;721;212
2013-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;2108;633
2013-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;1945;425
2013-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;1517;562
2013-12;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;2212;599
2013-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;784;234
2013-12;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;2146;475
2013-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;2509;560
2013-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;2452;639
2013-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;2034;631
2013-12;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;2354;628
2013-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;1393;425
2013-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;1513;453
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;47;19
2014-01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;30;9
2014-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;191;58
2014-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;85;18
2014-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;222;77
2014-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;116;44
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;89;36
2014-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;240;86
2014-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;370;101
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;401;131
2014-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;106;31
2014-02;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;203;70
2014-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;444;127
2014-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;157;65
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;515;146
2014-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;561;114
2014-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;315;81
2014-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;295;79
2014-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;625;191
2014-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;269;90
2014-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;391;120
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;310;95
2014-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;152;46
2014-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;504;120
2014-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;1421;388
2014-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;569;153
2014-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;117;36
2014-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;686;198
2014-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;499;140
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;689;188
2014-04;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;237;64
2014-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;351;90
2014-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;787;247
2014-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;791;225
2014-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;759;229
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;372;149
2014-05;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;1831;499
2014-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;145;46
2014-05;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;923;256
2014-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;658;186
2014-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;464;179
2014-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;492;110
2014-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;1141;278
2014-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;1225;321
2014-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;774;222
2014-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;288;74
2014-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;301;86
2014-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;981;298
2014-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;1012;273
2014-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;840;285
2014-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;1264;246
2014-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;1455;467
2014-07;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;1095;316
2014-07;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;1454;440
2014-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1166;357
2014-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;1504;418
2014-08;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1481;302
2014-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;1705;530
2014-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;898;228
2014-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;412;116
2014-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1345;406
2014-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;1554;410
2014-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;1024;239
2014-09;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;1236;284
2014-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;524;179
2014-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;1219;372
2014-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;407;156
2014-10;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1513;456
2014-10;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;3934;1084
2014-10;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;479;191
2014-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;657;188
2014-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;1901;520
2014-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;1923;385
2014-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;1168;275
2014-10;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;1608;427
2014-10;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;2167;653
2014-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;1133;288
2014-11;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;3294;998
2014-11;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;1514;428
2014-11;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;1355;370
2014-11;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;2151;425
2014-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;2435;751
2014-11;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;2107;542
2014-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;4725;1294
2014-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;345;112
2014-12;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1446;494
2014-12;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;1141;311
2014-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;2675;828
2014-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;1949;531
2014-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;1238;412
2014-12;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;737;242
2014-12;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;2609;764
2015-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;58;12
2015-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;182;50
2015-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;128;38
2015-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;60;22
2015-01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;186;49
2015-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;57;26
2015-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;199;49
2015-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;111;26
2015-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;82;24
2015-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;358;87
2015-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;235;53
2015-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;256;70
2015-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;434;130
2015-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;214;54
2015-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;73;36
2015-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;155;39
2015-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;1105;329
2015-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;327;101
2015-03;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;579;132
2015-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;583;166
2015-03;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;170;59
2015-03;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;547;131
2015-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;543;119
2015-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;175;47
2015-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;811;220
2015-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;458;108
2015-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;230;71
2015-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;129;26
2015-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;1391;382
2015-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;1267;336
2015-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;756;244
2015-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;1118;319
2015-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;583;158
2015-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;264;63
2015-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;1665;456
2015-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;772;226
2015-06;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1151;266
2015-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;642;233
2015-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;229;105
2015-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;923;271
2015-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;1459;390
2015-07;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;1336;298
2015-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;1294;325
2015-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;275;115
2015-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1250;365
2015-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;376;122
2015-08;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;227;51
2015-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;1505;438
2015-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;509;138
2015-08;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;1577;402
2015-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;1127;355
2015-08;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;1255;363
2015-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;430;142
2015-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;270;63
2015-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1048;301
2015-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;1037;294
2015-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;1930;499
2015-09;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;948;361
2015-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;578;203
2015-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;1436;394
2015-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;362;155
2015-10;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;1903;469
2015-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;2138;565
2015-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;2047;523
2015-11;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;1728;405
2015-11;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1297;371
2015-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;2466;703
2015-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;2276;670
2015-11;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;2541;745
2015-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;378;94
2015-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;1245;460
